condition	n_sig	rms_tru	rms_null	rms_sig
37_10	13	0.377559740208696	0.649685134247341	0.776491422979164
37_30	930	0.890286977452406	0.775632545827761	1.1878949743619
42_10	9	0.165272848083586	0.682951559316305	0.673068817523166
42_30	18	0.115880728334907	0.527046624789366	0.549200470758496
